X,Y,STORENAME,ADDRESS,ZIPCODE,PHONE,WARD,SSL,NOTES,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,PRESENT09,PRESENT10,PRESENT11,PRESENT12,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,PRESENT18,GIS_ID,OBJECTID,XCOORD,YCOORD,MAR_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,PRESENT22,PRESENT23
-77.0792147083642,38.9491088872299,Whole Foods Market,4530 40TH STREET NW,20016,2022375800,Ward 3,1770    0804,Tenleytown location,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_11,651,393133.54,142358.92,265175,,{341736A6-6C41-4077-A93A-673C56BC463F},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/06/28 13:10:21+00,Yes,Yes
-77.080552496299,38.9485365777595,Target ,4500 WISCONSIN AVENUE NW,20016,2022925573,Ward 3,1730    0015,,,,,,,,,,,,,,,,,GroceryStorePt_12,652,393017.52,142295.49,264422,,{13461840-7DAB-4095-842E-E0BE058C384E},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0957591117584,38.9457215516,Wagshal’s Market ,4845 MASSACHUSETTS AVENUE NW,20016,2023630777,Ward 3,1499    0001,,,,,,,,,,,,,,,,,GroceryStorePt_13,653,391699.01,141984.27,284992,,{83901818-3431-43A2-9828-2782605BDA76},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0631725104573,38.9445067759354,Giant,4303 CONNECTICUT AVENUE NW,20008,2023648250,Ward 3,2049    0805, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_14,654,394523.79,141846.96,301784,,{A5398418-0FF0-4A39-80C8-117C98ABB687},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0255289707541,38.9410364720762,Yes! Organic,4100 GEORGIA AVENUE NW,20011,2022915790,Ward 4,2910    0810, ,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_15,655,397786.99,141460.14,300492,,{67020644-0363-4EEF-BB0C-2F5EC3D7B9B5},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0330336144517,38.9394468802695,Morazan Grocery Store,3928 14TH STREET NW,20011,2027237480,Ward 4,2693    0044,,,,,,,,,,,,,,,,,GroceryStorePt_70,656,397136.32,141283.89,259021,,{66C9FCED-A01E-41CD-B0E2-8C2FEE4DC7D3},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9903974420661,38.9368242449082,Yes! Organic,3809 12TH STREET NE,20017,2028327715,Ward 5,3925    0085,Brookland,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_17,657,400832.73,140992.28,30397,,{9393FE43-2ED5-4EDF-9759-3292D6A94B37},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0580161995249,38.9358594136603,Target ,3505 CONNECTICUT AVENUE NW,20008,2028923794,Ward 3,2222    0015,,,,,,,,,,,,,,,,,GroceryStorePt_18,658,394970.18,140886.73,301779,,{4BB2D833-8123-4785-8757-A7A7AE7727B6},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0578868641251,38.9352427693639,Streets Market,3427 CONNECTICUT AVENUE NW ,20008,2022449114,Ward 3,2219    0809,,,,,,,,,,,,,,,,,GroceryStorePt_19,659,394981.35,140818.27,219257,,{0BE52838-6678-4767-B12D-4DCD6CC38AF2},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0577904942142,38.9351664266393,Yes! Organic,3425 CONNECTICUT AVENUE NW,20008,2023631559,Ward 3,2219    0005,Cleveland Park,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_20,660,394989.7,140809.79,219254,,{99B96733-94BC-4168-996F-E13F7739FDD0},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0729991621248,38.9343514937201,Giant,3336 WISCONSIN AVENUE NW,20016,2022445922,Ward 3,1920    0844, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_71,661,393671.02,140720.27,223125,,{88889CB0-2908-48D6-89DC-9F2EA4E383E3},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0237955747602,38.9311557230232,Panam Grocery,3552 14TH STREET NW,20010,2025450290,Ward 1,2688    0054,,,,,,,,,,,,,,,,,GroceryStorePt_21,662,397936.98,140363.25,243394,,{10A82BC1-1BFD-4D64-97FE-DD857E19B37B},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0319236902472,38.9308217390914,Giant,1345 PARK ROAD NW,20010,2027771077,Ward 1,2837    0079,Tivoli Square,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_23,663,397232.21,140326.39,297595,,{8A0BF12C-0187-411D-AF20-D20BCF51034F},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0382726167417,38.9302053755006,El Progreso Market,3158 MOUNT PLEASANT STREET NW,20010,2024621151,Ward 1,2596    1055,,,,,,,,,,,,,,,,,GroceryStorePt_24,664,396681.69,140258.18,236467,,{7B9E3417-64EB-4153-A7C8-C5D5312ACC23},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9748191515622,38.9294509712179,Good Food Markets,2006 RHODE ISLAND AVENUE NE,20018,2022488494,Ward 5,4219    0030,,,,,,,,,,,,,,,,,GroceryStorePt_25,665,402183.58,140174.04,53027,,{EE5A54C1-FCF9-4438-AD63-D0068084835E},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,No,No
-77.0329860146798,38.9293082279734,Target,3100 14TH STREET NW,20010,2027773773,Ward 1,2674    0721, ,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_26,666,397140.04,140158.41,306304,,{E4D349AB-9F8A-4A4F-AE42-9E15C64AE5A9},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0409938627999,38.9242151834871,Safeway,1747 COLUMBIA ROAD NW,20009,2026670774,Ward 1,2580    0512, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_27,667,396445.44,139593.32,284083,,{7C1459D3-4205-465C-8589-CDC4A462B587},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9999069059571,38.9218477803563,Save-A-Lot,514 RHODE ISLAND AVENUE NE,20002,2026363780,Ward 5,3629    0007, ,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_72,668,400008.27,139329.72,288529,,{09F34878-24DD-4586-B191-15D479E733DF},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,No,No
-77.0437109649062,38.9218044722116,Yes! Organic,1825 COLUMBIA ROAD NW,20009,2024625150,Ward 1,2549    0636,Adams Morgan,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_29,669,396209.7,139325.82,295011,,{E4E3D6C8-C808-483E-B1FD-7C24CD0DF1F8},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0716152331314,38.9209342809733,Whole Foods Market,2323 WISCONSIN AVENUE NW,20007,2023335393,Ward 3,1299    1028,Georgetown,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_30,670,393789.84,139230.75,284358,,{7F249106-38C6-4211-9E2D-DE35D95AB1ED},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/06/28 13:10:21+00,Yes,Yes
-76.9508811561746,38.9208509565686,Costco Wholesale,2441 MARKET STREET NE,20018,2022698540,Ward 5,4327    0004,Costco,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_31,671,404259.71,139220.21,309925,,{582A1832-3715-4F9B-A072-024D908CED52},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0320853679333,38.9207621057576,Streets Market,2400 14TH STREET NW,20009,2022653300,Ward 1,2661    0864,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_32,672,397217.8,139209.69,234183,,{F7E5C73D-8053-4889-8B2A-84BE61889AB6},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.043542076919,38.9207560561591,Streets Market,1864 COLUMBIA ROAD NW,20009,2027580658,Ward 1,2551    0063,,,,,,,,,,,,,,,,,GroceryStorePt_33,673,396224.29,139209.43,235402,,{A32952C5-FD79-4008-A590-64137F8F0F6C},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0248679841667,38.9197573462225,Whole Foods Market,967 FLORIDA AVENUE NW,20001,2025193400,Ward 1,2873    1102,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,GroceryStorePt_79,674,397861.5,139107.39,319123,,{7C0648AB-FB04-4997-85C8-EBAC703EA054},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/06/28 13:10:21+00,Yes,Yes
-77.0316197500875,38.9185067273602,Yes! Organic,2123 14TH STREET NW,20009,2022326603,Ward 1,0235    0204,U Street,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_35,675,397258.09,138959.31,306454,,{45FCE223-597A-4EE4-8E29-104D58F54BA1},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,No
-77.0959621251688,38.9174414084109,Safeway,4865 MACARTHUR BOULEVARD NW,20007,2023375649,Ward 3,1389    0025, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_73,676,391678.11,138844.95,285004,,{B781FF71-032E-4647-86D6-214D329796D9},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,No,No
-77.0686882697142,38.9173129772803,Trader Joe's,2101 WISCONSIN AVENUE NW #A,20007,2029448403,Ward 3,1299    0321,,,,,,,,,,,,,,,,,GroceryStorePt_36,677,394043.36,138828.56,279531,,{0A0E4B5E-71B9-4C2B-8AEC-B11810E99D37},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9820128140313,38.9162679885429,Target ,1515 NEW YORK AVENUE NE,20002,2029142396,Ward 5,4037    0011,,,,,,,,,,,,,,,,,GroceryStorePt_37,678,401560.12,138710.47,311951,,{0C4314DD-09D6-4C23-A6C1-598EB3475C4F},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0675609126373,38.9161258855224,Safeway,1855 WISCONSIN AVENUE NW,20007,2023333223,Ward 2,1299    1040, ,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_38,679,394141.03,138696.71,224665,,{152A7BF1-F352-41DA-8C39-350BB15C9DA0},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0322456128733,38.9161008811198,Trader Joe's,1914 14TH STREET NW,20009,2029861591,Ward 2,0205    0847,14th Street NW,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_39,680,397203.72,138692.26,302384,,{20462FC5-F80E-4B9E-8453-C77D29F6814A},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9835931863584,38.9159516682391,Mom's Organic Market,1501 NEW YORK AVENUE NE,20002,2027913826,Ward 5,4037    0821,Mom's,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_40,681,401423.07,138675.33,311943,,{39DF581B-389F-4E1D-BDE3-AC542E23FAB1},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0389558279945,38.912057515959,Safeway,1701 CORCORAN STREET NW,20009,2026676825,Ward 2,0155    0231, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_42,682,396621.59,138243.64,241699,,{490DC6A4-034E-4AF9-ACD1-569A11F60998},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0335677400704,38.9094991071177,Whole Foods Market,1440 P STREET NW ,20005,2023324300,Ward 2,0210    0128,Logan Circle,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_74,683,397088.79,137959.45,279174,,{E2BC2F94-FC35-429E-80F4-CCEFB72EB8A5},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/06/28 13:10:21+00,Yes,Yes
-77.0483654643336,38.9094901349361,Metro Supermarket,2130 P STREET NW #5,20037,2028333720,Ward 2,0068    0088,,,,,,,,,,,,,,,,,GroceryStorePt_43,684,395805.35,137959.03,298500,,{C99935D3-E9F5-4B87-B33E-567C27861A84},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0221253052451,38.9087707170711,Giant,1400 7TH STREET NW,20001,2022380180,Ward 2,0398    0836,O Street Market,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_44,685,398081.2,137878.29,304153,,{3B7BC6D4-B9C8-47C2-A6E3-3ABC4B866128},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0005653694175,38.9075875827674,Trader Joe's,1240 4TH STREET NE,20002,2026081023,Ward 5,3587    0820, ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,GroceryStorePt_45,686,399951.16,137746.72,285974,,{FA6F18F0-D92C-46A8-B126-8C41D9FDB874},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0483633352644,38.9066904312142,Streets Market,1255 22ND STREET NW,20037,2026520843,Ward 2,0070    0198,,,,,,,,,,,,,,,,,GroceryStorePt_47,687,395805.37,137648.24,242473,,{4A6B4F37-016E-45D8-9740-A4CAF5FEDFC1},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0054945492568,38.9060230649165,Harris Teeter,1201 1ST STREET NE,20002,2029861415,Ward 6,0711    0816, ,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_48,688,399523.62,137573.06,303728,,{8CDC5267-E6E1-48AF-AFEA-78C495698D3E},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0072711369923,38.9054625583105,Streets Market,51 M STREET NE ,20002,2028981314,Ward 6,0673    0035,,,,,,,,,,,,,,,,,GroceryStorePt_49,689,399369.52,137510.85,314143,,{D3E48F1B-5213-4D23-9936-A3D4134F935E},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0290444232359,38.9050079456299,Streets Market,1221 MASSACHUSSETTS AVENUE NW,20005,2024147891,Ward 2,0282    0044,,,,,,,,,,,,,,,,,GroceryStorePt_75,690,397480.95,137460.76,240918,,{2F403E9E-AEA5-44A1-900D-95309EE11B4B},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0651503992671,38.9047675504914,Dean & DeLuca,3276 M STREET NW,20007,2023422500,Ward 2,1186    0800,Georgetown,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_50,691,394349.18,137435.69,273712,,{82BF1711-E23B-4B68-B4DE-400EF03E897F},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,No,No
-77.0530144579977,38.9041989548928,Trader Joe's,1101 25TH STREET NW,20037,2022961921,Ward 2,0025    0022,West End,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_51,692,395401.79,137371.89,303613,,{5D7EA9EE-610E-4F06-B17D-C8BA29421FAA},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9780318268668,38.9015692906108,Aldi,901 17TH STREET NE,20002,8559552534,Ward 5,4488    0040, ,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_76,693,401905.76,137078.87,308898,,{D1A3CEBE-A387-4471-BCA7-AA47D3011EC6},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0490699137686,38.9009185733382,Whole Foods Market,2201 I STREET NW,20037,2022961660,Ward 2,0054    7011,Foggy Bottom,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_53,694,395743.74,137007.55,310098,,{B259B91E-D7EE-4FBD-82DB-715522CD5542},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/06/28 13:10:21+00,Yes,Yes
-76.9797723166244,38.9005750820888,Safeway,1601 MARYLAND AVENUE NE,20002,2023986903,Ward 5,4493    0001, ,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_54,695,401754.81,136968.47,297814,,{494D49F3-9C9B-470E-B1F8-9C98DF9A7C02},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0016470212636,38.9004378222694,Giant,300 H STREET NE,20002,2025485100,Ward 6,0776    0054,H Street NE,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_55,696,399857.33,136953.04,308511,,{0AC05C96-D2DA-4FA4-AD8E-B71D2BA7A9D6},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0119870632264,38.9004043382032,Walmart Supercenter,99 H STREET NW,20001,2027192110,Ward 6,0623    0836,H Street,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_56,697,398960.4,136949.39,310062,,{64362A25-E4DC-498A-99E0-AFD5F5458CD1},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,No
-76.9981473864413,38.9004044883214,Whole Foods Market,600 H STREET NE,20002,2024697410,Ward 6,0858    0866, ,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,GroceryStorePt_57,698,400160.9,136949.34,311750,,{0E5F6476-B227-4331-93A1-82D61AEB140B},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/06/28 13:10:21+00,Yes,Yes
-77.0511437169783,38.8965343041196,Market at Columbia Plaza,516 23RD STREET NW,20037,2022233517,Ward 2,0033    0087,,,,,,,,,,,,,,,,,GroceryStorePt_58,699,395563.58,136520.96,298798,,{39BDDDB8-33B0-4171-B79A-27CD150E7C2F},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9955259196549,38.8847415606701,Trader Joe's,750 PENNSYLVANIA AVENUE SE,20003,2026980190,Ward 6,0901    0804, ,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,GroceryStorePt_59,700,400388.38,135210.64,313096,,{7C2588A4-1864-491B-A41D-9B024BFF2FB1},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9865515080303,38.8835490628555,Safeway,415 14TH STREET SE,20003,2025474333,Ward 6,1042    0829, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_60,701,401167.04,135078.34,26239,,{359C10E9-C72A-4432-B4FB-D7E3E217154C},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9946635503182,38.8833902666177,Yes! Organic,410 8TH STREET SE,20003,2025469850,Ward 6,0925    0026,Capitol Hill,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_61,702,400463.21,135060.64,300093,,{33159ACB-655C-4DFD-8C0C-E1AE15930E24},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0047130149364,38.880285371771,Whole Foods Market,101 H STREET SE,20003,2024697280,Ward 8,0737    0827,,,,,,,,,,,,,,,,,GroceryStorePt_62,703,399591.26,134715.97,315544,,{4F07489C-1004-4754-94C9-F628F12AAAC7},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/06/28 13:10:21+00,Yes,Yes
-76.9866249753104,38.8802096614236,Harris Teeter,1350 POTOMAC AVENUE SE,20003,2025431040,Ward 6,1045    0138,Jenkins Row,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_63,704,401160.72,134707.64,303730,,{496859BA-CC24-41CA-8667-F6B0E8C7A3CF},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,No,No
-77.0171618053437,38.8776215046911,Safeway,1100 4TH STREET SW,20024,2025549155,Ward 6,0542    0872, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_64,705,398511.05,134420.39,307170,,{A30D0370-6C3A-4079-9F2C-2EF7B5627C78},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
